                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1707,                 2.1821,                 1.5352,                0.66823,                0.66138,                0.70765,                0.41657,                  1.379,                 1.5417,                 1.9204,              0.0003019,              0.0003019,              0.0003019
                      2,                 1.1869,                 1.4611,                 1.5377,                0.53075,                 0.6555,                0.61868,                 0.3378,                 1.3847,                 1.8255,                   1.94,             0.00060091,             0.00060091,             0.00060091
                      3,                 1.1981,                 1.4003,                 1.5383,                0.70198,                0.68177,                0.74415,                0.47266,                 1.2676,                 1.3071,                 1.8574,             0.00089592,             0.00089592,             0.00089592
                      4,                 1.1638,                 1.3308,                 1.5137,                0.74554,                0.60739,                0.68574,                0.41294,                 1.2367,                 1.4362,                 1.8607,               0.000891,               0.000891,               0.000891
                      5,                 1.1647,                 1.2593,                 1.4972,                 0.8487,                0.74513,                0.84687,                0.54907,                 1.2152,                  1.044,                   1.79,               0.000891,               0.000891,               0.000891
                      6,                 1.1413,                 1.1856,                 1.4808,                0.82432,                0.69386,                0.79595,                0.53285,                 1.1759,                 1.0647,                 1.7754,               0.000885,               0.000885,               0.000885
                      7,                 1.1077,                 1.1376,                 1.4638,                0.86045,                 0.7369,                0.84292,                0.58224,                 1.1242,                0.87693,                 1.7041,               0.000879,               0.000879,               0.000879
                      8,                  1.107,                 1.1042,                 1.4577,                0.83529,                0.75684,                0.85424,                0.59592,                 1.0941,                0.94139,                  1.676,               0.000873,               0.000873,               0.000873
                      9,                 1.0745,                 1.0832,                 1.4332,                0.74562,                0.83356,                0.85706,                0.59598,                 1.1156,                0.93208,                 1.6832,               0.000867,               0.000867,               0.000867
                     10,                 1.0928,                 1.0717,                  1.445,                0.74882,                0.79262,                0.83876,                0.54484,                 1.1757,                 1.0258,                 1.7605,               0.000861,               0.000861,               0.000861
                     11,                 1.0749,                 1.0256,                 1.4274,                0.82956,                 0.7579,                0.86475,                0.59783,                 1.1291,                0.85032,                  1.708,             0.00085501,             0.00085501,             0.00085501
                     12,                  1.073,                 1.0184,                 1.4312,                0.88101,                0.81728,                0.89194,                0.61241,                  1.084,                0.78525,                 1.6358,             0.00084901,             0.00084901,             0.00084901
                     13,                 1.0505,                 1.0146,                  1.419,                0.86835,                0.80162,                0.88822,                0.61855,                 1.0767,                0.81128,                 1.6401,             0.00084301,             0.00084301,             0.00084301
                     14,                 1.0419,                0.97088,                 1.4084,                0.86931,                0.82702,                0.88724,                0.62053,                 1.0885,                0.76554,                  1.645,             0.00083701,             0.00083701,             0.00083701
                     15,                 1.0362,                0.95185,                 1.4012,                0.85041,                0.85831,                0.90271,                0.64362,                 1.0602,                0.75862,                 1.6296,             0.00083101,             0.00083101,             0.00083101
                     16,                 1.0337,                0.94005,                 1.3928,                0.88988,                0.80631,                0.89941,                0.64146,                 1.0852,                0.73808,                 1.6523,             0.00082501,             0.00082501,             0.00082501
                     17,                 1.0268,                0.92292,                 1.3932,                 0.8235,                0.83121,                0.89283,                0.62338,                 1.0575,                0.75087,                 1.6116,             0.00081901,             0.00081901,             0.00081901
                     18,                 1.0098,                0.89224,                 1.3753,                0.85484,                0.86452,                0.91431,                0.65376,                  1.043,                0.70709,                 1.6016,             0.00081301,             0.00081301,             0.00081301
                     19,                 1.0161,                0.89473,                  1.384,                0.88885,                0.81613,                0.89934,                0.64158,                 1.0609,                0.74712,                 1.6154,             0.00080701,             0.00080701,             0.00080701
                     20,                  1.004,                0.89423,                  1.388,                0.89991,                0.81632,                0.91385,                0.66109,                 1.0316,                0.71046,                 1.5763,             0.00080101,             0.00080101,             0.00080101
                     21,                  1.011,                0.89029,                 1.3728,                0.86063,                0.83293,                0.89328,                0.62514,                 1.0567,                0.71704,                 1.6099,             0.00079501,             0.00079501,             0.00079501
                     22,                0.99327,                0.87358,                 1.3786,                0.88047,                0.82435,                 0.9198,                  0.654,                 1.0677,                0.67058,                 1.6124,             0.00078901,             0.00078901,             0.00078901
                     23,                0.99289,                0.84044,                 1.3698,                0.88778,                0.84026,                0.92195,                0.66981,                 1.0301,                0.67172,                 1.5756,             0.00078301,             0.00078301,             0.00078301
                     24,                0.97273,                0.82134,                 1.3596,                0.87852,                0.83983,                0.91724,                0.65709,                 1.0617,                0.69455,                 1.6083,             0.00077701,             0.00077701,             0.00077701
                     25,                0.97327,                0.82665,                 1.3579,                0.89153,                0.84136,                0.91385,                0.65518,                 1.0416,                0.71914,                 1.5922,             0.00077101,             0.00077101,             0.00077101
                     26,                0.97757,                0.82752,                 1.3693,                0.83633,                0.82959,                0.88364,                0.62974,                 1.0329,                0.73588,                 1.5884,             0.00076501,             0.00076501,             0.00076501
                     27,                 0.9848,                0.80841,                 1.3545,                0.89295,                 0.8754,                0.92443,                0.66554,                 1.0441,                0.64031,                 1.6076,             0.00075902,             0.00075902,             0.00075902
                     28,                 0.9718,                 0.7877,                 1.3609,                0.86266,                0.86076,                0.90385,                0.63979,                 1.0742,                0.67827,                 1.6205,             0.00075302,             0.00075302,             0.00075302
