                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84982,                 1.9484,                 1.0395,                0.60502,                0.54672,                0.51543,                 0.4247,                0.56993,                 1.5845,                0.90703,             0.00036472,             0.00036472,             0.00036472
                      2,                0.66425,                0.78687,                0.95041,                0.71147,                0.60141,                0.59515,                0.45697,                0.64744,                0.78334,                 1.0016,             0.00072778,             0.00072778,             0.00072778
                      3,                0.66062,                 0.7201,                0.95294,                0.76761,                0.59885,                0.64342,                0.50221,                0.64923,                0.81069,                 1.0155,              0.0010835,              0.0010835,              0.0010835
                      4,                0.65918,                0.66041,                 0.9495,                0.78485,                0.65061,                0.67971,                0.54062,                0.64675,                0.66008,                 1.0237,               0.001078,               0.001078,               0.001078
                      5,                0.64329,                0.64864,                0.94775,                0.87796,                 0.5971,                0.70572,                0.59747,                0.56277,                0.57239,                 0.9753,               0.001067,               0.001067,               0.001067
                      6,                0.60648,                0.58778,                0.92972,                0.82015,                0.69033,                0.80885,                0.66526,                0.54642,                0.60732,                0.95429,               0.001056,               0.001056,               0.001056
                      7,                 0.6165,                 0.5868,                0.93526,                 0.8764,                0.68346,                0.72161,                0.59244,                 0.5696,                0.52009,                0.96869,               0.001045,               0.001045,               0.001045
                      8,                0.59483,                0.56186,                0.92758,                0.87657,                0.61244,                0.72561,                0.61886,                0.52135,                 0.4965,                0.94663,               0.001034,               0.001034,               0.001034
                      9,                0.59286,                0.54843,                0.92851,                0.85989,                0.72119,                0.79519,                0.68809,                0.50224,                0.44718,                0.93491,               0.001023,               0.001023,               0.001023
                     10,                0.57255,                0.53422,                 0.9187,                0.92278,                0.73273,                0.77332,                 0.6706,                0.50207,                0.42658,                0.93723,               0.001012,               0.001012,               0.001012
                     11,                0.56773,                0.51824,                0.91651,                0.90006,                0.62134,                 0.7337,                0.63337,                0.51073,                0.48052,                0.93391,               0.001001,               0.001001,               0.001001
                     12,                0.54487,                0.48287,                0.90628,                0.92203,                0.72536,                0.90075,                0.77482,                0.48107,                0.40556,                0.93092,             0.00099001,             0.00099001,             0.00099001
                     13,                0.54324,                0.49647,                0.90764,                 0.9047,                0.74385,                0.82049,                0.72738,                0.47714,                0.41367,                0.92094,             0.00097901,             0.00097901,             0.00097901
                     14,                0.54121,                0.48126,                0.90775,                0.94423,                0.72515,                0.83504,                0.72974,                0.50106,                0.39994,                0.92874,             0.00096801,             0.00096801,             0.00096801
                     15,                0.52345,                0.48667,                0.89847,                0.90876,                0.72244,                0.78116,                 0.6925,                0.45509,                0.38138,                0.92645,             0.00095702,             0.00095702,             0.00095702
                     16,                0.52382,                 0.4506,                0.89772,                0.93575,                 0.7552,                0.81135,                0.72062,                0.45658,                0.39301,                0.91308,             0.00094602,             0.00094602,             0.00094602
                     17,                0.50918,                0.45454,                0.88809,                0.93005,                0.74407,                0.81086,                0.71842,                0.44821,                0.36474,                0.90581,             0.00093502,             0.00093502,             0.00093502
                     18,                0.50003,                0.44271,                 0.8881,                0.94215,                0.89672,                0.95858,                0.80146,                0.44057,                0.40582,                0.91333,             0.00092402,             0.00092402,             0.00092402
                     19,                0.51147,                0.45034,                0.89693,                0.90586,                0.74097,                0.78742,                0.69244,                0.46095,                0.37707,                0.91932,             0.00091302,             0.00091302,             0.00091302
                     20,                0.50403,                0.43877,                0.88855,                0.81572,                 0.9838,                0.97186,                0.86612,                0.44438,                0.35002,                0.91286,             0.00090202,             0.00090202,             0.00090202
                     21,                0.49939,                 0.4234,                0.88603,                0.88801,                0.96189,                0.97079,                0.87772,                0.41655,                 0.3547,                0.89835,             0.00089102,             0.00089102,             0.00089102
                     22,                0.48258,                0.42314,                0.88453,                0.86262,                0.88557,                0.97363,                0.86639,                 0.4596,                0.37273,                0.90158,             0.00088002,             0.00088002,             0.00088002
                     23,                0.48479,                0.41673,                0.88751,                0.91232,                0.93096,                 0.9773,                 0.9034,                0.42992,                0.33768,                0.92069,             0.00086902,             0.00086902,             0.00086902
                     24,                0.48712,                0.41385,                0.88427,                0.92901,                0.74586,                0.84158,                0.77222,                0.42582,                0.35961,                0.89418,             0.00085803,             0.00085803,             0.00085803
                     25,                0.47561,                 0.4091,                0.88357,                0.94576,                0.91226,                0.97678,                0.90074,                0.41099,                0.32874,                0.89985,             0.00084703,             0.00084703,             0.00084703
                     26,                0.47231,                0.40769,                0.88268,                0.94362,                 0.9658,                0.97928,                0.89279,                 0.4136,                0.33205,                0.89644,             0.00083603,             0.00083603,             0.00083603
                     27,                 0.4719,                  0.402,                0.88296,                0.81154,                 0.9838,                0.94646,                0.86209,                0.41267,                0.32956,                0.89354,             0.00082503,             0.00082503,             0.00082503
                     28,                 0.4753,                0.40779,                 0.8827,                0.93865,                0.95046,                0.97919,                0.88501,                0.40042,                0.32122,                0.88742,             0.00081403,             0.00081403,             0.00081403
                     29,                0.46064,                0.38637,                0.87285,                 0.9052,                0.95683,                 0.9795,                 0.9057,                0.40995,                0.31532,                0.88126,             0.00080303,             0.00080303,             0.00080303
                     30,                0.45825,                0.37817,                0.87412,                0.94884,                0.94091,                0.97848,                0.89025,                0.40357,                0.31916,                0.89339,             0.00079203,             0.00079203,             0.00079203
                     31,                0.46356,                0.37496,                 0.8763,                0.92447,                0.96742,                0.98212,                0.89684,                0.39618,                 0.3011,                0.88893,             0.00078103,             0.00078103,             0.00078103
                     32,                0.45459,                0.37678,                0.87154,                0.93535,                0.94813,                0.98101,                0.91206,                0.41208,                0.30859,                0.89383,             0.00077003,             0.00077003,             0.00077003
                     33,                0.45821,                0.37786,                0.87869,                0.94784,                0.92619,                0.97979,                0.91051,                0.40405,                0.31344,                0.88669,             0.00075904,             0.00075904,             0.00075904
                     34,                0.45341,                0.37358,                0.87062,                 0.9523,                0.74137,                 0.8063,                0.74311,                0.41273,                0.31298,                0.89424,             0.00074804,             0.00074804,             0.00074804
                     35,                0.45186,                0.37223,                0.87583,                0.93756,                0.93293,                0.97843,                0.90452,                 0.3968,                0.29763,                0.88038,             0.00073704,             0.00073704,             0.00073704
                     36,                0.43658,                0.35978,                0.86686,                0.95167,                0.95257,                0.97898,                0.92472,                0.38174,                0.28749,                0.87158,             0.00072604,             0.00072604,             0.00072604
                     37,                0.43696,                0.35791,                0.87302,                0.82212,                0.92708,                0.97091,                0.89194,                0.38922,                0.30455,                0.88374,             0.00071504,             0.00071504,             0.00071504
                     38,                0.43343,                0.36929,                0.86628,                0.94043,                0.96795,                0.98459,                0.90147,                0.38252,                0.28181,                0.87496,             0.00070404,             0.00070404,             0.00070404
                     39,                0.43572,                0.35694,                0.86878,                0.89701,                0.96037,                0.95227,                0.88448,                0.37148,                0.28161,                0.86566,             0.00069304,             0.00069304,             0.00069304
                     40,                 0.4386,                0.36337,                0.86662,                0.94834,                0.93945,                0.97725,                0.91632,                0.38939,                0.29478,                0.87975,             0.00068204,             0.00068204,             0.00068204
                     41,                0.42894,                0.34271,                0.86615,                0.95113,                0.96439,                0.98347,                0.92343,                0.37204,                0.27153,                0.87018,             0.00067104,             0.00067104,             0.00067104
                     42,                 0.4314,                0.34307,                0.86883,                0.94311,                0.96775,                0.98414,                0.90484,                0.37386,                0.27693,                0.86667,             0.00066005,             0.00066005,             0.00066005
                     43,                0.43264,                0.34162,                0.86319,                0.93932,                0.95956,                 0.9787,                0.90056,                0.38039,                0.28915,                0.87743,             0.00064905,             0.00064905,             0.00064905
